               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071023,            0.023893,            0.043527,             0.18376,             0.63689,             0.26481,             0.12048,            0.036701,            0.008219,            0.033055,             0.07015,           0.0033167,           0.0033167
                   1,            0.050129,            0.014712,             0.03685,             0.29833,             0.73286,             0.44314,             0.21754,            0.029743,           0.0061315,            0.025719,            0.040117,           0.0066171,           0.0066171
                   2,            0.048436,             0.01199,            0.031373,             0.45062,             0.55449,             0.50265,             0.24363,            0.031927,           0.0056711,            0.026338,            0.010051,           0.0098845,           0.0098845
                   3,            0.043055,            0.010288,            0.028572,              0.3299,             0.84961,             0.52727,             0.32741,            0.024186,           0.0056333,            0.028321,           0.0098515,           0.0098515,           0.0098515
                   4,            0.038441,             0.00932,            0.027108,             0.57299,              0.7858,             0.66399,             0.37894,            0.022368,           0.0049044,            0.021872,           0.0098515,           0.0098515,           0.0098515
                   5,            0.036619,           0.0090004,            0.025593,             0.61663,             0.85917,             0.75804,             0.40109,            0.025776,           0.0043821,            0.021867,            0.009802,            0.009802,            0.009802
                   6,            0.034355,           0.0086468,            0.023815,             0.62147,             0.82557,             0.78644,             0.46431,            0.022002,            0.004424,            0.017325,           0.0097525,           0.0097525,           0.0097525
                   7,            0.033952,           0.0086776,            0.023734,             0.72417,             0.79455,             0.79145,             0.54968,            0.022481,           0.0045009,            0.018963,            0.009703,            0.009703,            0.009703
                   8,            0.032477,           0.0088047,            0.021385,             0.73489,             0.81475,             0.86313,             0.56648,            0.021047,           0.0043345,            0.017757,           0.0096535,           0.0096535,           0.0096535
                   9,            0.031864,           0.0084536,            0.021162,              0.7666,             0.81506,             0.85551,             0.55476,            0.020878,           0.0040766,            0.017044,            0.009604,            0.009604,            0.009604
                  10,            0.030961,           0.0081074,            0.021646,             0.77579,             0.82062,             0.90078,             0.61879,            0.019162,           0.0040655,            0.015183,           0.0095545,           0.0095545,           0.0095545
                  11,            0.030661,           0.0080735,            0.020148,              0.8588,             0.81154,             0.88473,             0.57668,            0.023158,           0.0042477,            0.013379,            0.009505,            0.009505,            0.009505
                  12,            0.029903,           0.0078772,            0.020527,             0.79614,             0.82878,             0.87152,             0.56426,            0.021761,           0.0043934,            0.012644,           0.0094555,           0.0094555,           0.0094555
                  13,            0.029297,           0.0081231,            0.018742,             0.80996,              0.8041,              0.8726,             0.62067,            0.018653,           0.0040629,            0.013913,            0.009406,            0.009406,            0.009406
                  14,            0.029462,           0.0079107,            0.017635,             0.78962,             0.89121,              0.9229,             0.64188,            0.017986,           0.0039627,            0.014055,           0.0093565,           0.0093565,           0.0093565
                  15,            0.029404,           0.0077282,             0.01812,             0.87753,             0.89007,             0.93937,             0.64113,            0.019883,           0.0038898,           0.0092973,            0.009307,            0.009307,            0.009307
                  16,            0.028673,           0.0075933,            0.017525,             0.84293,             0.88437,             0.92516,             0.66852,            0.017183,            0.003893,            0.012774,           0.0092575,           0.0092575,           0.0092575
                  17,            0.028681,           0.0074692,            0.017633,             0.77832,             0.86558,              0.8688,             0.62118,            0.017815,           0.0039675,             0.01639,            0.009208,            0.009208,            0.009208
                  18,            0.028015,           0.0076563,             0.01599,             0.84185,             0.88622,             0.93726,              0.6786,            0.018397,           0.0039296,            0.010972,           0.0091585,           0.0091585,           0.0091585
